Source	Target	Weight
VP Engineering__s	cassandra__t	25
Doctoral Student__s	higher education__t	1154
Assistant achats__s	microsoft access__t	134
Architecte of heritage__s	3d studio max__t	532
IN engineer__s	sip__t	175
actor__s	acting__t	520
Project Manager__s	electronic trading__t	87
Global Product Manager__s	business analysis__t	2264
Internship__s	mathematical programming__t	10
RCT__s	microsoft word__t	23651
General Manager__s	business travel__t	156
Reporter-photographe__s	photoshop__t	11057
IT system engineer__s	microsoft word__t	23651
Managing Partner__s	marketing management__t	842
Founder and COO__s	testing__t	817
photographe__s	social networking__t	820
Special Forces Operator__s	first aid__t	41
CFO__s	outsourcing__t	856
Mother__s	strategic planning__t	11444
English trainer__s	teaching__t	9386
Area Manager__s	community management__t	519
syndicaliste__s	microsoft office__t	38175
GERANT__s	blogging__t	766
CIO__s	trading__t	336
System Verification Engineer__s	project management__t	14884
IT Engineer__s	embedded software__t	435
chief in editor__s	editing__t	2967
Sales Manager__s	hardware__t	152
Bio-organic internship__s	hplc__t	164
Director__s	business analysis__t	2264
gestion locative__s	microsoft office__t	38175
graphiste__s	painting__t	1163
Commercial Counselor__s	policy__t	495
waiter__s	microsoft excel__t	28122
Personal Assistant__s	international relations__t	1402
Assistant Marketing Manager__s	brand management__t	460
Electronics engineering consultant__s	adobe illustrator__t	1663
Purchaser__s	mrp__t	91
Collaboratrice d'architecte__s	powerpoint__t	19346
Summer intern__s	international relations__t	1402
Facility Manager__s	operations management__t	1215
Permanent researcher__s	project coordination__t	302
Business Manager__s	recruiting__t	993
Recording Studio__s	unreal engine__t	11
Civil engineer__s	highways__t	44
Account Executive__s	sales manager__t	1451
Networks Technical Director__s	linux__t	2872
Senior Sourcing Manager__s	organic products__t	5
Head of Ciao!__s	software project management__t	1133
Doctorat__s	powerpoint__t	19346
sef__s	customer service__t	16818
Student Internship__s	engineering__t	3020
Summer Intern__s	polymer chemistry__t	50
permanent__s	microsoft word__t	23651
Sr. Research Analyst__s	international security__t	35
Human Resources Manager__s	behavioural change__t	7
Director of Competitions__s	coaching__t	2682
Customer Account Mgr__s	manufacturing__t	1648
Finance Manager__s	financial analysis__t	1817
Security Consultant__s	security management__t	137
research engineer__s	engineering__t	3020
Commercial__s	oenology__t	18
dangerous goods manager__s	supply chain__t	1147
IDE__s	strategic planning__t	11444
Program Manager__s	value engineering__t	46
French Assistant__s	teaching__t	9386
Modellista__s	customer service__t	16818
Coordinator__s	english__t	12734
MANAGING DIRECTOR__s	marketing strategy__t	8807
fund manager__s	fixed income__t	513
salesman__s	visual merchandising__t	424
Team manager__s	networking__t	713
Company director__s	social media__t	7787
Research Intern__s	chemical engineering__t	207
Batteries Program Manager__s	electrochemistry__t	62
French teaching__s	research__t	12923
Technical Associate__s	testing__t	817
Professor__s	e-business__t	377
Business Analyst ( Contractor )__s	banking__t	909
apbg__s	windows__t	7884
gerant__s	b2b__t	1440
Co founder__s	marketing communications__t	3956
manager__s	facebook__t	276
Brand Manager__s	social media__t	7787
Special projects manager__s	marketing strategy__t	8807
RECEPTIONIST__s	microsoft office__t	38175
Campus Manager__s	marketing__t	10247
agent territorial__s	research__t	12923
Executive Project Manager__s	project management__t	14884
Artist__s	art consulting__t	12
Managing Director__s	catering__t	406
ARCHITECTE DPLG__s	communication marketing__t	1500
summer intership 2013__s	analysis__t	998
INTERNATIONAL STYLE ADVISOR__s	policy__t	495
Capoeira Instructor__s	choreography__t	36
ash__s	research__t	12923
selfemployed__s	microsoft word__t	23651
Commercial Manager__s	molecular biology__t	812
Production executive internship__s	powerpoint__t	19346
TECHNICAL LEADER__s	process scheduler__t	66
Bizdev manager__s	smart cards__t	133
Internal Audit__s	project planning__t	2248
Staff Auditor__s	windows__t	7884
Doctor of Chiropractic__s	craniosacral therapy__t	6
Service Manager__s	linux__t	2872
Managing Gites__s	strategic planning__t	11444
English Teaching Assistant__s	microsoft office__t	38175
Research fellow__s	business strategy__t	8370
Security Engineer__s	checkpoint security__t	11
Commercial__s	social media__t	7787
photographer__s	moviemaker__t	6
retired director__s	creative writing__t	563
Supply Production Leader__s	microsoft excel__t	28122
informaticien__s	windows__t	7884
assistante formation__s	team building__t	2646
Additive manufacturing engineer__s	manufacturing__t	1648
Build Manager__s	microsoft sql server__t	1122
Junior Researcher__s	microsoft word__t	23651
COMMUNICATION ENGINEER__s	windows__t	7884
Part of__s	adobe freehand__t	5
founder__s	programming__t	893
Research scientist__s	spectroscopy__t	231
Business Development Manager__s	pharmaceuticals__t	33
Business Developer__s	adobe photoshop__t	5222
GERANT__s	teaching__t	9386
assistant patternmaker__s	marketing strategy__t	8807
Photographer-Teacher__s	advertising__t	2113
builder__s	project planning__t	2248
Research assistant__s	protein chemistry__t	84
Procurement Category Manager__s	engineering__t	3020
Project Manager__s	human rights__t	196
Credit Analyst__s	credit risk__t	217
Manager SAP Finance__s	automotive__t	881
Summer Intern__s	signal processing__t	375
Technical Architect__s	xml__t	1100
branch manager__s	freight forwarding__t	209
myself__s	advertising__t	2113
Jobboard__s	technical recruiting__t	213
Software developer__s	mysql__t	1766
caviste__s	inventory management__t	910
sound__s	film__t	1186
Managing Director__s	microsoft office__t	38175
Humanitarian Affair Officer__s	capacity building__t	221
inspector__s	customer service__t	16818
Interpretation Geophysicist__s	perforation__t	21
IT Technician__s	ruby on rails__t	106
GIS Project Manager__s	gps applications__t	7
Alumni__s	project management__t	14884
Commercial__s	xml__t	1100
Salesman__s	project management__t	14884
International Finance Manager__s	external audit__t	183
GERANT__s	healthcare__t	1719
Owner and Founder__s	sales__t	6033
Computer Specialist__s	business analysis__t	2264
Chartered Accountant__s	editing__t	2967
Support team manager__s	it operations__t	205
Senior Software Engineer__s	scala__t	70
System communication architect__s	plc__t	110
Head of Forensics__s	training__t	2287
Trader__s	business strategy__t	8370
SINGER__s	music__t	1358
Music therapist__s	mental health__t	340
Intern(Analyst)__s	html__t	5749
clinical study director__s	oncology__t	382
Dealer__s	html5__t	712
Hotel General Manager__s	training__t	2287
Solution Architect__s	technical presentations__t	21
Helpdesk Manager__s	team building__t	2646
tool process expert__s	new business development__t	7467
Software engineer__s	public speaking__t	10335
Corporate Manager__s	team leadership__t	2024
Image Processing Engineer__s	software development__t	1983
SEO Manager__s	organic search__t	11
Technicien reseau__s	customer experience__t	153
Project manager__s	civil engineering__t	235
Research Director__s	computer science__t	624
PhD Candidate__s	human rights__t	196
Managing Director__s	wan__t	142
general manager__s	event photography__t	232
Human Resources Manager__s	sourcing__t	597
Dry Dock Superintendant__s	pipelines__t	124
Commercial Pro Peugeot__s	strategic planning__t	11444
gerance__s	program management__t	2570
Security Expert__s	linux__t	2872
Recruitment Manager__s	epc__t	201
Managing director__s	financial markets__t	730
freelance__s	life coaching__t	54
Staff__s	statistics__t	840
Summer Internship__s	fashion design__t	356
Service manager__s	sla__t	49
General Manager Assistant__s	project management__t	14884
Manager associate__s	strategic partnerships__t	613
Bespoke Property Consultant__s	public speaking__t	10335
Senior Relationship Banker__s	investment banking__t	765
BML__s	military operations__t	128
Publishing Director__s	water management__t	30
product manager__s	trade shows__t	105
Head of Quality__s	ndt__t	54
Researcher__s	cmake__t	16
Assistant__s	customer service__t	16818
Proprietor__s	distributed team management__t	13
Programming Intern__s	public relations__t	3620
Professor__s	vhdl__t	307
vdi__s	public relations__t	3620
Executive Assistant__s	philanthropy__t	13
physicist__s	statistics__t	840
Supply Chain Manager__s	research__t	12923
Deutschlehrerin__s	microsoft office__t	38175
Owner__s	kaizen__t	295
IT Engineer__s	teamwork__t	1646
wlasciciel firmy__s	microsoft office__t	38175
Material Mgr__s	strategic sourcing__t	347
Business Development Specialist__s	microsoft office__t	38175
Software Engineer__s	manual testing__t	15
Digital Marketing Coordinator__s	digital strategy__t	1044
General Manager__s	teamwork__t	1646
GIS Technician__s	windows__t	7884
Professor of Marketing__s	strategic partnerships__t	613
Winery Guide__s	teamwork__t	1646
engineer__s	computing__t	22
Clinical Research Specialist__s	cro__t	175
musician__s	music production__t	833
formation multimedia__s	windows__t	7884
Hospital pharmacist__s	public health__t	311
Sophrologue sophro-analyste__s	leadership__t	8448
Export coordinator__s	water treatment__t	84
eMarketing Specialist__s	market research__t	1254
Co-Founder__s	statistical modeling__t	74
Release Engineer__s	software development__t	1983
Stagiaire Architecte__s	sketch__t	80
Writer and translator__s	creative writing__t	563
director__s	trading systems__t	160
International Business Developer__s	public speaking__t	10335
technicien support__s	hibernate__t	319
Process Expert VOC__s	team management__t	3845
CIO IT__s	troubleshooting__t	708
Teacher__s	publishing__t	474
IT Support Coordinator__s	illustrator__t	2556
OSTEOPATHE DO MROF__s	powerpoint__t	19346
Key Account Representative__s	microsoft word__t	23651
Assistant Professor__s	hospitality__t	1365
Senior researcher__s	biotechnology__t	802
nvt__s	fiction__t	72
IT INNOVATION MANAGER__s	french__t	6129
Technical Analyst__s	commodity__t	109
CTO__s	telecommunications__t	2417
IT Security Consulting__s	cryptography__t	115
Writer__s	digital humanities__t	4
